NO.,COUNTRY OF NATIONALITY,2023,2022,2019,latitude,longitude
1.0,SINGAPORE,8308230,5222991,10163882,1.3521,103.8198
2.0,INDONESIA,3108165,1481739,3623277,-0.7893,113.9213
3.0,THAILAND,1551282,715528,1884306,15.87,100.9925
4.0,CHINA,1474114,212603,3114257,35.8617,104.1954
5.0,BRUNEI,811833,301757,1216123,4.5353,114.7277
6.0,INDIA,671846,324548,735309,20.5937,78.9629
7.0,SOUTH KOREA,400853,146384,673065,35.9078,127.7669
8.0,VIETNAM,344361,173763,400346,14.0583,108.2772
9.0,AUSTRALIA,343438,152265,368271,-25.2744,133.7751
10.0,PHILIPPINES,339282,159442,421908,12.8797,121.774
11.0,CHINESE TAIPEI,283380,48132,382916,23.6978,120.9605
12.0,UNITED KINGDOM,272297,134667,346485,55.3781,-3.436
13.0,JAPAN,229892,83309,424694,36.2048,138.2529
14.0,United States of America,229476,108141,269928,37.0902,-95.7129
15.0,BANGLADESH,142748,59033,179000,23.685,90.3563
16.0,GERMANY,125987,57780,130221,51.1657,10.4515
17.0,FRANCE,115145,55087,141661,46.6034,1.8883
18.0,RUSSIA,109689,33003,79984,61.524,105.3188
19.0,PAKISTAN,107657,60535,105757,30.3753,69.3451
20.0,MYANMAR,86298,36765,46257,21.9162,95.956
21.0,CAMBODIA,72627,39823,97097,12.5657,104.991
22.0,CANADA,71981,30656,87568,56.1304,-106.3468
23.0,NETHERLANDS,68448,31070,82110,52.1326,5.2913
24.0,SRI LANKA,55050,24906,26058,7.8731,80.7718
25.0,SAUDI ARABIA,51375,35980,121444,23.8859,45.0792
26.0,ITALY,48440,18866,54710,41.8719,12.5674
27.0,NEW ZEALAND,42955,18238,50140,-40.9006,174.886
28.0,SPAIN,40762,20474,43616,40.4637,-3.7492
29.0,SWITZERLAND,23312,10486,25659,46.8182,8.2275
30.0,POLAND,21472,8472,27033,51.9194,19.1451
31.0,EGYPT,20783,11117,29831,26.8206,30.8025
32.0,IRAN,19908,7570,46559,32.4279,53.688
33.0,NEPAL,18488,11379,20437,28.3949,84.124
34.0,IRELAND,18127,8739,19696,53.1424,-7.6921
35.0,SWEDEN,18006,8083,29592,60.1282,18.6435
36.0,BELGIUM,17726,7543,22082,50.8503,4.3517
37.0,TURKIYE,17275,7169,15290,38.9637,35.2433
38.0,LAOS,16781,7010,26955,19.8563,102.4955
39.0,DENMARK,16053,7717,22314,56.2639,9.5018
40.0,SOUTH AFRICA,15155,7937,22674,-30.5595,22.9375
41.0,IRAQ,12562,6008,21421,33.2232,43.6793
42.0,UKRAINE,11129,4381,16019,48.3794,31.1656
43.0,NORWAY,9981,4960,14585,60.472,8.4689
44.0,KAZAKHSTAN,8298,2836,18138,48.0196,66.9237
45.0,UAE,7877,3230,11174,23.4241,53.8478
